[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 172.64.148.235 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 92.38.180.108 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 92.38.180.108 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 172.64.148.235 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 92.38.180.108 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.203.72.43 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 172.64.148.235 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.203.72.43 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.203.72.43 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.59.80.130 | Protocol: 6
[2026-01-13 20:28:33] 192.168.100.67 -> 23.203.72.43 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
[2026-01-13 20:28:33] 23.59.80.130 -> 192.168.100.67 | Protocol: 6
